PageNumber,TimeSinceLastAccess,AccessFrequency,WillBeUsedSoon
48,0,0,0
21,0,0,0
15,0,0,1
15,1,1,0
23,0,0,0
30,0,0,0
25,0,0,0
38,0,0,0
39,0,0,0
27,0,0,0
43,0,0,0
5,0,0,0
9,0,0,0
7,0,0,0
20,0,0,0
14,0,0,0
29,0,0,0
27,8,1,0
32,0,0,0
8,0,0,0
11,0,0,0
5,10,1,0
31,0,0,0
48,23,1,0
13,0,0,0
9,13,1,0
21,25,1,0
3,0,0,0
47,0,0,0
15,26,2,0
28,0,0,1
20,17,1,1
20,1,2,0
44,0,0,0
2,0,0,0
28,5,1,1
36,0,0,1
38,30,1,0
45,0,0,0
34,0,0,0
28,5,2,0
36,5,1,0
35,0,0,0
43,33,1,0
4,0,0,0
29,29,1,0
15,17,3,0
40,0,0,0
37,0,0,0
26,0,0,0
4,6,1,1
13,27,1,1
35,10,1,0
4,3,2,0
33,0,0,0
13,4,2,0
49,0,0,0
26,8,1,0
27,41,2,0
35,7,2,0
10,0,0,0
13,6,3,0
1,0,0,0
47,35,1,0
46,0,0,0
40,18,1,1
17,0,0,0
33,13,1,0
27,10,3,0
40,4,2,0
14,55,1,0
6,0,0,0
47,9,2,0
30,68,1,0
11,54,1,0
45,37,1,0
4,23,3,0
6,6,1,0
2,44,1,0
20,47,3,0
13,19,4,0
38,44,2,0
17,16,1,0
29,38,2,0
4,8,4,0
27,17,4,0
13,6,5,0
40,18,3,0
12,0,0,0
21,63,2,0
35,31,3,0
39,83,1,0
20,13,4,0
47,21,3,0
41,0,0,0
30,22,2,0
42,0,0,0
25,91,1,0
20,6,5,0
19,0,0,0
10,40,1,0
27,16,5,0
6,25,2,0
0,0,0,0
44,71,1,0
32,87,1,0
38,25,3,0
25,10,2,0
45,33,2,0
15,63,4,0
11,36,2,0
2,33,2,0
18,0,0,0
37,65,1,0
19,15,1,1
19,1,2,0
7,103,1,0
11,7,3,0
26,61,2,0
33,52,2,0
37,7,2,0
15,12,5,0
17,40,2,0
12,35,1,0
7,8,2,0
23,121,1,1
27,25,6,0
38,21,4,0
1,66,1,1
23,4,2,0
1,2,2,0
8,112,1,0
0,29,1,1
7,9,3,0
49,78,1,0
32,30,2,0
31,114,1,0
0,5,2,0
42,42,1,0
35,49,4,0
36,99,2,0
22,0,0,0
49,8,2,0
5,122,2,0
28,104,3,0
16,0,0,1
18,34,1,0
39,56,2,0
22,7,1,0
3,122,1,0
16,5,1,0
44,47,2,0
18,6,2,0
1,23,3,0
